"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US09011","New London County, Connecticut","266784","*****","212183","2107","17171","2545","1346","717","11344","682","0","207","8074","2212","16666","2855","1353","748","15313","2743"
"0500000US09013","Tolland County, Connecticut","150921","*****","132634","1524","4158","761","232","203","7604","883","0","207","2569","1671","3724","1298","356","239","3368","1211"
"0500000US09015","Windham County, Connecticut","117027","*****","103996","2205","2502","546","402","414","1622","348","0","207","5335","2280","3170","887","627","704","2543","784"
"0500000US10001","Kent County, Delaware","178550","*****","116529","1660","45522","1826","1556","1198","4144","670","106","144","1737","1081","8956","1942","485","447","8471","1915"
"0500000US10003","New Castle County, Delaware","559335","*****","353694","3728","144954","2929","1512","477","31543","1326","357","359","14083","3512","13192","2907","1775","966","11417","2582"
"0500000US10005","Sussex County, Delaware","229286","*****","189558","1966","27118","1185","1329","483","3336","215","433","536","3832","1653","3680","1505","342","520","3338","1378"
"0500000US11001","District of Columbia, District of Columbia","702455","*****","296747","4449","319777","4282","1932","589","27538","1377","397","171","30897","5312","25167","2776","3722","1305","21445","2461"
"0500000US12001","Alachua County, Florida","269956","*****","186822","1716","52720","1816","970","295","17015","1081","284","359","2606","1495","9539","2218","955","702","8584","2036"
"0500000US12005","Bay County, Florida","185287","*****","146936","3718","19301","1844","877","431","3867","945","62","101","5229","3728","9015","2040","293","324","8722","2003"
"0500000US12009","Brevard County, Florida","596849","*****","491473","3513","57559","4388","1788","957","14941","2245","611","98","6041","1966","24436","5192","1705","994","22731","4973"
"0500000US12011","Broward County, Florida","1951260","*****","1161467","12222","562696","7543","6018","1770","72663","2360","1816","615","79885","11499","66715","8757","11597","2765","55118","7417"
"0500000US12015","Charlotte County, Florida","184998","*****","167034","1344","9781","988","224","222","2517","475","215","332","1482","1064","3745","1312","516","815","3229","1078"
"0500000US12017","Citrus County, Florida","147929","*****","136707","1154","4284","1293","430","636","2155","738","0","229","1167","807","3186","1360","579","601","2607","1161"
"0500000US12019","Clay County, Florida","216072","*****","168786","3254","24859","2515","35","60","5712","905","0","229","6522","3160","10158","2736","472","462","9686","2786"
"0500000US12021","Collier County, Florida","378488","*****","334685","3116","26009","1183","810","386","5521","741","112","204","7259","3062","4092","1405","514","415","3578","1316"
"0500000US12023","Columbia County, Florida","70503","*****","53675","907","11899","1962","364","255","354","362","0","229","825","818","3386","1941","1937","1767","1449","1032"
"0500000US12031","Duval County, Florida","950181","*****","566932","5455","278340","4029","3413","963","44256","2790","409","428","21729","5631","35102","4324","2314","1003","32788","4370"
"0500000US12033","Escambia County, Florida","315534","*****","214141","1504","71301","2360","1814","755","11379","1435","421","352","2714","1068","13764","3069","1844","1046","11920","2698"
"0500000US12035","Flagler County, Florida","112067","*****","92191","1755","11266","1086","0","229","2828","754","0","229","3197","1746","2585","1329","67","112","2518","1328"
"0500000US12053","Hernando County, Florida","190865","*****","168354","1938","10761","1314","662","612","2139","942","0","229","3619","1765","5330","1700","945","783","4385","1582"
"0500000US12055","Highlands County, Florida","105424","*****","84051","2780","10117","1473","0","229","921","521","0","229","7747","2757","2588","1735","53","89","2535","1695"
"0500000US12057","Hillsborough County, Florida","1436888","*****","1003558","9122","241095","6857","3754","911","58301","2589","388","457","66171","7740","63621","6363","11832","3143","51789","5674"
"0500000US12061","Indian River County, Florida","157413","*****","135869","1756","13492","2060","717","1026","1188","804","264","370","1313","1240","4570","2017","317","410","4253","1883"
"0500000US12069","Lake County, Florida","356495","*****","293920","4342","41098","3794","1760","880","6928","1299","155","258","3276","1515","9358","3383","1216","1231","8142","3005"
"0500000US12071","Lee County, Florida","754610","*****","632400","6866","68105","2282","614","320","12403","1081","399","227","29748","6047","10941","2484","2420","1298","8521","1937"
"0500000US12073","Leon County, Florida","292502","*****","178125","1637","91171","1873","523","371","11278","617","148","186","3352","1453","7905","2155","1451","1161","6454","1587"
"0500000US12081","Manatee County, Florida","394855","*****","337520","2772","32646","2368","717","469","9221","573","235","223","5571","2214","8945","2526","1237","621","7708","2547"
"0500000US12083","Marion County, Florida","359977","*****","294540","3040","43923","2193","1019","669","4898","1045","173","165","6196","2994","9228","2390","288","321","8940","2372"
"0500000US12085","Martin County, Florida","160912","*****","137280","3471","11043","2251","316","417","2904","371","0","229","6184","2780","3185","1587","1142","1200","2043","909"
"0500000US12086","Miami-Dade County, Florida","2761581","*****","2054029","14478","472958","7714","5983","3944","44830","2347","361","212","135869","13581","47551","5781","14450","3363","33101","4734"
"0500000US12087","Monroe County, Florida","75027","*****","65534","1477","5227","782","31","56","1027","259","260","413","1991","1409","957","572","121","215","836","484"
"0500000US12089","Nassau County, Florida","85832","*****","78055","395","5011","795","430","578","805","340","0","229","35","64","1496","801","306","385","1190","703"
"0500000US12091","Okaloosa County, Florida","207269","*****","162777","2431","20465","1908","572","568","7062","921","401","597","6985","2165","9007","2432","536","431","8471","2423"
"0500000US12095","Orange County, Florida","1380645","*****","881215","11143","288018","5969","4549","3382","71893","2971","1276","570","85680","11134","48014","6119","11515","3616","36499","5108"
"0500000US12097","Osceola County, Florida","367990","*****","261233","8221","43509","3762","1172","972","11147","1863","16","29","34241","7127","16672","4769","3558","1568","13114","4441"
"0500000US12099","Palm Beach County, Florida","1485941","*****","1086487","7489","273542","5124","2419","1401","42059","1839","1017","676","41155","6963","39262","5167","5787","2100","33475","5024"
"0500000US12101","Pasco County, Florida","539630","*****","464256","3996","30469","2250","2309","784","13863","1192","109","144","11525","3391","17099","3176","2207","916","14892","2981"
"0500000US12103","Pinellas County, Florida","975280","*****","791389","3866","99971","3719","2598","945","32571","2092","1235","574","14406","3080","33110","4606","3896","1464","29214","4174"
"0500000US12105","Polk County, Florida","708009","*****","541001","6800","107044","2696","2670","621","13061","1245","0","229","26628","6276","17605","3341","2276","1029","15329","3381"
"0500000US12107","Putnam County, Florida","74163","*****","59256","860","11881","1321","0","229","530","177","0","229","525","537","1971","1308","429","469","1542","1258"
"0500000US12109","St. Johns County, Florida","254261","*****","224296","1323","14093","957","819","666","7638","1089","0","229","1717","1075","5698","1791","570","462","5128","1749"
"0500000US12111","St. Lucie County, Florida","321128","*****","232424","3487","64874","3084","0","229","6057","814","376","379","6968","3013","10429","3644","2989","1960","7440","2888"
"0500000US12113","Santa Rosa County, Florida","179349","*****","152137","1766","10837","1931","1194","588","3161","815","865","994","2511","1216","8644","2316","935","639","7709","2197"
"0500000US12115","Sarasota County, Florida","426718","*****","388007","1883","19172","1628","871","570","7605","1287","238","202","2769","973","8056","2316","935","755","7121","2159"
"0500000US12117","Seminole County, Florida","467832","*****","346992","6986","57125","2633","1127","725","22199","1104","273","456","27014","6755","13102","2663","1741","839","11361","2642"
"0500000US12119","Sumter County, Florida","128754","*****","114673","1029","10375","990","176","253","1403","208","0","229","1194","699","933","601","245","270","688","530"
"0500000US12127","Volusia County, Florida","547538","*****","441141","5494","60845","2505","2441","796","10098","1019","120","201","24373","5432","8520","2074","650","467","7870","2099"
