County,Median_Age,Percent_Age_17_and_Under,Percent_Age_65_and_Older,Percent_Age_85_and_Older,Percent_Hispanic,Percent_White_Alone,Percent_African_American_Alone,Percent_American_Indian_&_Alaska_Native_Alone,Percent_Asian_Alone,Percent_Native_Hawaiian_and_Other_Pacific_Islander_Alone,Percent_Multi_Racial,Per_Capita_Income,Median_Household_Income,Avg_Annual_Pay,Percent_Population_in_Poverty,Percent_Population_under_18_in_Poverty,Percent_Urban,Percent_Rural,Percent_HS_Graduate_or_Higher,Percent_Bachelors_Degree_or_Higher,Percent_Unemployed,County_Population,Population_Density_per_Sq_Mile,Percent_Uninsured,Percent_Insured,State,FIPS,State_Abbr,RUCC_2013,RUCC_Description
Delta,42.1,23.47,20.97,1.73,8.65,87.32,6.58,2.33,0.66,0.06,3.06,34803,44410,25868,17.2,26.0,0.0,100.0,86.3,18.6,3.3,5331,20.37,17.3,82.7,Texas,48119,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Denton,36.1,24.29,10.54,0.89,19.44,76.33,10.64,0.84,9.41,0.11,2.67,55933,88384,50734,7.3,8.1,93.09,6.91,92.0,42.2,3.3,887207,754.31,13.0,87.0,Texas,48121,TX,1,Metro - Counties in metro areas of 1 million population or more
DeWitt,41.8,22.46,20.01,2.8,35.68,87.96,9.37,0.94,0.36,0.04,1.33,54549,49208,44910,18.4,25.2,50.38,49.62,79.9,14.6,4.4,20160,22.11,18.2,81.8,Texas,48123,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Dickens,43.4,18.18,23.74,2.44,31.51,88.37,5.95,2.3,1.31,0.09,1.98,31586,39627,32808,20.3,27.5,0.0,100.0,78.5,14.3,4.7,2211,2.71,21.6,78.4,Texas,48125,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Dimmit,34.9,28.65,17.28,2.5,87.18,95.9,1.59,0.77,0.75,0.02,0.97,36639,37177,55874,24.6,35.8,60.52,39.48,66.6,10.5,5.1,10124,7.52,20.7,79.3,Texas,48127,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Donley,43.2,19.37,24.53,2.53,11.73,91.1,5.76,0.87,0.75,0.06,1.45,45736,40945,35153,18.6,27.8,0.0,100.0,87.3,16.5,3.6,3278,3.97,19.7,80.3,Texas,48129,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Duval,36.5,25.63,18.2,2.35,89.32,96.47,1.44,0.9,0.48,0.12,0.6,36418,35156,38553,25.5,36.1,32.96,67.04,67.1,8.9,7.7,11157,6.57,20.3,79.7,Texas,48131,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Eastland,42.4,21.15,22.08,2.76,16.65,94.38,2.17,1.2,0.69,0.08,1.49,71142,44773,54155,18.7,26.1,39.65,60.35,82.8,14.6,4.3,18360,20.06,21.4,78.6,Texas,48133,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Ector,30.6,30.28,9.61,1.04,61.52,90.38,5.17,1.45,1.24,0.26,1.5,47271,60431,61871,12.9,17.9,90.54,9.46,75.1,15.2,4.1,166223,152.76,21.4,78.6,Texas,48135,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Edwards,48.7,21.74,29.04,3.21,55.71,94.97,1.1,2.2,0.73,0.0,1.0,35182,37812,34591,22.1,37.3,0.0,100.0,75.1,24.0,3.2,1932,0.95,24.2,75.8,Texas,48137,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
