"County","Ethnicity: % Hispanic","Race: % White Alone","Race: % African American Alone","Race: % American Indian & Alaska Native Alone","Race: % Asian Alone","Race: % Native Hawaiian and Other Pacific Islander Alone","Race: % Multi-Racial"
"San Augustine","7.18","75.41","21.78","0.75","0.31","0.01","1.73"
"San Jacinto","13.25","86.48","9.67","0.96","0.53","0.06","2.29"
"San Patricio","58.32","94.17","2.01","1.02","1.19","0.15","1.46"
"San Saba","30.41","92.18","3.99","1.44","0.56","0","1.83"
"Schleicher","53.75","95.03","1.74","1.04","0.45","0","1.74"
"Scurry","40.61","90.72","5.3","1.35","0.76","0.05","1.83"
"Shackelford","10.87","95.27","1.75","0.68","0.43","0.06","1.81"
"Shelby","18.58","78.3","17.78","1","1.34","0.08","1.51"
"Sherman","44.34","94.84","1.81","1.26","0.84","0","1.26"
"Smith","19.75","77.78","17.84","0.82","1.66","0.1","1.79"
"Somervell","18.25","93.75","1.32","1.58","1.12","0.04","2.18"
"Starr","96.3","98.65","0.41","0.4","0.24","0.02","0.27"
"Stephens","24","93.78","2.81","1.31","0.8","0.04","1.27"
"Sterling","40.49","93.17","2.15","2.3","0.54","0.08","1.76"
"Stonewall","18.79","91.27","3.33","1.7","1.7","0","2"
"Sutton","62.87","96.3","1.01","1.15","0.56","0.03","0.96"
"Swisher","44.62","87.29","8.42","1.69","0.63","0.08","1.89"
"Tarrant","29.16","73.09","17.53","0.88","5.73","0.24","2.52"
"Taylor","24.76","85.38","8.28","1.01","2.31","0.15","2.87"
"Terrell","53.7","91.6","1.48","3.58","0.99","0","2.35"
"Terry","55.73","91.72","4.91","1.25","0.57","0.07","1.48"
"Throckmorton","13.96","96.08","1.26","1.2","0.47","0","1"
"Titus","43.58","84.76","9.99","2.38","1.22","0.16","1.48"
"Tom Green","40.42","90.75","4.38","1.13","1.41","0.15","2.18"
"Travis","33.8","79.94","8.86","1.21","7.23","0.12","2.63"
"Trinity","10.33","87.32","9.29","0.92","0.52","0.05","1.91"
"Tyler","8.05","85.7","11.35","0.84","0.61","0.05","1.46"
"Upshur","8.91","88.31","8.01","1.06","0.51","0.06","2.05"
"Upton","53.86","91.53","3.41","2.69","0.71","0","1.65"
"Uvalde","72.23","95.48","1.23","1.26","0.9","0.1","1.04"
"Val Verde","82.34","94.83","2.04","0.99","0.84","0.17","1.14"
"Van Zandt","11.25","93.8","2.84","0.93","0.5","0.15","1.78"
"Victoria","47.31","89.49","6.56","0.92","1.39","0.08","1.56"
"Walker","18.01","72.81","23.57","0.83","1.13","0.12","1.54"
"Waller","30.44","70.79","24.98","1.37","1.24","0.11","1.51"
"Ward","54.43","90.87","4.99","1.45","0.6","0.09","2.01"
"Washington","16.26","78.61","17.56","0.54","1.81","0.05","1.42"
"Webb","95.45","97.62","0.7","0.57","0.62","0.05","0.43"
"Wharton","41.97","83.86","13.72","0.79","0.56","0.05","1.03"
"Wheeler","25.53","92.32","3.14","1.74","0.85","0","1.94"
"Wichita","19.51","82.46","11.11","1.33","2.14","0.14","2.81"
"Wilbarger","29.33","84.86","8.19","1.67","2.81","0.07","2.39"
"Willacy","88.27","95.13","2.71","0.69","0.86","0.06","0.55"
"Williamson","24.69","81.27","7.2","0.86","7.66","0.16","2.85"
"Wilson","39.99","95.11","1.76","0.98","0.63","0.08","1.44"
"Winkler","61.33","92.58","3.24","1.99","0.86","0.04","1.29"
"Wise","19.68","94.91","1.55","1.1","0.64","0.07","1.72"
"Wood","10.18","91.25","5.55","1.04","0.58","0.07","1.52"
"Yoakum","66.82","95.09","1.43","1.72","0.55","0.03","1.18"
"Young","18.94","94.85","1.57","1.26","0.78","0.07","1.48"
"Zapata","94.54","98.53","0.4","0.47","0.28","0.01","0.32"
"Zavala","93.99","96.5","1.26","1.13","0.25","0.16","0.7"
